domain_name,browser_name,os_name
lifedaily.com,Chrome,Windows
diply.com,Other,Android
diply.com,Other,iPhone
diply.com,Other,Android
thehollywoodgossip.com,Chrome,Android
tomsguide.com,Chrome,Windows
diply.com,Other,Android
wakingtimes.com,Other,Android
thekrazycouponlady.com,Chrome,Android
androidcentral.com,Unknown,Unknown
boredomtherapy.com,Other,Android
msn.com,Edge,Windows
livescience.com,Unknown,Unknown
metro.co.uk,Other,iPhone
buzzlie.com,Safari,iPhone
lifestylepassion.com,Other,iPhone
diply.com,Other,Android
androidcentral.com,Chrome,Windows
yummly.com,Safari,iPhone
trulia.com,Safari,iPhone
usmagazine.com,Chrome,Android
thegunnysack.com,Safari,iPhone
ijreview.com,Chrome,Android
diply.com,Other,Android
tomshardware.com,Unknown,Unknown
diply.com,Edge,Windows
diply.com,Other,iPhone
topix.com,Edge,Windows
allrecipes.com,Chrome,Windows
diply.com,Other,iPhone
space.com,Unknown,Unknown
diply.com,Other,Android
littlethings.com,Other,Android
diply.com,Other,iPhone
noshingwiththenolands.com,Safari,iPad
littlebudha.com,Other,Android
diply.com,Firefox,Mac
diply.com,Other,iPad
littlethings.com,Other,Android
tomsguide.com,Unknown,Unknown
cavaliersnation.com,Chrome,Android
topix.com,Safari,iPad
diply.com,Other,iPhone
closetcooking.com,MSIE 11,Windows
diply.com,Other,Android
shareably.net,Safari,Mac
diply.com,Other,Android
diply.com,Other,Android
trendingtoplists.com,Other,iPhone
ijreview.com,Other,iPhone
pinger.com,Other,Android
androidcentral.com,Unknown,Unknown
diply.com,Other,iPhone
diply.com,Other,Android
diply.com,Other,Android
msn.com,Chrome,Windows
diply.com,Other,Android
stylebistro.com,Edge,Windows
littlethings.com,Other,Android
diply.com,Other,Android
diply.com,Other,iPhone
diply.com,Other,Android
diply.com,Other,iPhone
diply.com,Other,iPhone
epicurious.com,Safari,Mac
cosmopolitan.com,Chrome,Android
diply.com,Other,Android
diply.com,Other,Android
pch.com,Safari,iPhone
diply.com,Other,iPad
hellowonderful.co,Other,iPhone
trendingtoplists.com,Other,iPhone
